id,name,category,description,attributes,information_score,created_at,updated_at
1,Move Smartwatch,electronics,Difference beyond plan over. Western hold individual power. Water article cost. Claim pay price set know.,"{""battery_life_hours"": 16}",2,2026-04-12 10:27:58.165382,2026-04-12 10:27:58.165386
2,Theory Smartwatch,electronics,Probably goal federal agent pressure audience. General eat make history send happen. Simple prove subject.,"{""battery_life_hours"": null}",1,2026-04-12 10:27:58.165388,2026-04-12 10:27:58.165390
3,He Smartwatch,electronics,Opportunity decision stuff grow individual I. Loss summer find student go everyone. Year himself sound.,"{""battery_life_hours"": null}",1,2026-04-12 10:27:58.165391,2026-04-12 10:27:58.165393
4,Bar Smartwatch,electronics,Truth pressure quite choice us. Yeah turn brother other offer leg network. Form drive order.,"{""battery_life_hours"": 46}",2,2026-04-12 10:27:58.165394,2026-04-12 10:27:58.165395
5,Inside Smartwatch,electronics,Eight with protect whole. Many same step lay leader. Determine suffer matter money relationship him.,"{""battery_life_hours"": null}",1,2026-04-12 10:27:58.165396,2026-04-12 10:27:58.165398
6,Outside Smartwatch,electronics,Meeting he address enjoy election. Entire exactly notice treat cause. Need approach door feel reality past fast sister.,"{""battery_life_hours"": null}",1,2026-04-12 10:27:58.165399,2026-04-12 10:27:58.165400
7,Blue Smartwatch,electronics,"More stay human direction mention thousand.
Way same ok leave. Price game we common oil conference.","{""battery_life_hours"": null}",1,2026-04-12 10:27:58.165401,2026-04-12 10:27:58.165402
8,Fear Smartwatch,electronics,Decade dinner right many meeting. Occur that forget south you cold. Weight develop pay approach executive fund.,"{""battery_life_hours"": 33}",2,2026-04-12 10:27:58.165404,2026-04-12 10:27:58.165405
9,Movement Smartwatch,electronics,Everyone former dream name. Read be ready financial wife million campaign president.,"{""battery_life_hours"": 19}",2,2026-04-12 10:27:58.165406,2026-04-12 10:27:58.165407
10,If Smartwatch,electronics,Give much maybe drive travel data. Visit include campaign listen method sell. Option head hard financial put.,"{""battery_life_hours"": 58}",2,2026-04-12 10:27:58.165409,2026-04-12 10:27:58.165410
11,Star,grocery,Sister outside growth industry house picture claim move treat analysis.,"{""is_gluten_free"": false, ""is_high_fiber"": false}",0,2026-04-12 10:27:58.165411,2026-04-12 10:27:58.165412
12,Popular,grocery,Spend audience many explain treatment direction need all realize none.  Gluten-free.,"{""is_gluten_free"": true, ""is_high_fiber"": false}",2,2026-04-12 10:27:58.165414,2026-04-12 10:27:58.165415
13,By,grocery,Research five identify night war eat skin pressure until despite.  Gluten-free.,"{""is_gluten_free"": true, ""is_high_fiber"": false}",1,2026-04-12 10:27:58.165416,2026-04-12 10:27:58.165417
14,Share,grocery,Finally list room outside particular but opportunity fire major music understand ahead.  High in fiber.,"{""is_gluten_free"": false, ""is_high_fiber"": true}",2,2026-04-12 10:27:58.165419,2026-04-12 10:27:58.165420
15,Should,grocery,Per type car main north set.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",2,2026-04-12 10:27:58.165421,2026-04-12 10:27:58.165422
16,Whatever,grocery,Cover yes camera throughout without note almost operation still.  High in fiber.,"{""is_gluten_free"": false, ""is_high_fiber"": true}",2,2026-04-12 10:27:58.165424,2026-04-12 10:27:58.165425
17,She,grocery,Rock bad level state fast agency share service education article.,"{""is_gluten_free"": false, ""is_high_fiber"": false}",0,2026-04-12 10:27:58.165426,2026-04-12 10:27:58.165427
18,Still,grocery,Rather human hair deal open rock plant simple nothing of natural dog.,"{""is_gluten_free"": false, ""is_high_fiber"": false}",0,2026-04-12 10:27:58.165428,2026-04-12 10:27:58.165430
19,Parent,grocery,Administration chance start production few wear wonder page eat difficult current common.  Gluten-free.,"{""is_gluten_free"": true, ""is_high_fiber"": false}",2,2026-04-12 10:27:58.165431,2026-04-12 10:27:58.165432
20,However,grocery,Arrive fact into take general often born rather.  Gluten-free.,"{""is_gluten_free"": true, ""is_high_fiber"": false}",1,2026-04-12 10:27:58.165433,2026-04-12 10:27:58.165434
21,Modern,grocery,Number very although full treatment every project purpose.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",3,2026-04-12 10:27:58.165436,2026-04-12 10:27:58.165437
22,Church,grocery,Owner former remain stock state per view pattern.  Gluten-free.,"{""is_gluten_free"": true, ""is_high_fiber"": false}",1,2026-04-12 10:27:58.165438,2026-04-12 10:27:58.165439
23,Dinner,grocery,Student film ten against cup include must career name improve performance sing drug.  Gluten-free.,"{""is_gluten_free"": true, ""is_high_fiber"": false}",2,2026-04-12 10:27:58.165441,2026-04-12 10:27:58.165442
24,Happen,grocery,Beyond source trouble policy people modern community people alone however woman.  High in fiber.,"{""is_gluten_free"": false, ""is_high_fiber"": true}",2,2026-04-12 10:27:58.165443,2026-04-12 10:27:58.165444
25,Training,grocery,Opportunity reflect pretty billion it take easy seem physical.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",3,2026-04-12 10:27:58.165445,2026-04-12 10:27:58.165447
